"Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING%2C%20ELECTRICAL%20%26%20ELECTRONIC' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
141,IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY,"3,051",1.146,0.005340,
142,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS,"4,021",1.136,0.010660,
143,IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,"3,292",1.120,0.005850,
144,Journal of Computational Electronics,555,1.104,0.001550,
145,INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS,"1,465",1.099,0.002700,
146,IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY,"6,025",1.092,0.011560,
147,JOURNAL OF SUPERCOMPUTING,"1,236",1.088,0.004320,
148,COMPUTERS & ELECTRICAL ENGINEERING,"1,172",1.084,0.003190,
148,International Transactions on Electrical Energy Systems,272,1.084,0.000740,
150,TSINGHUA SCIENCE AND TECHNOLOGY,654,1.063,0.001360,
151,EURASIP Journal on Image and Video Processing,345,1.060,0.001430,
151,Radiophysics and Quantum Electronics,"1,038",1.060,0.001910,
153,IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING,"1,099",1.045,0.001420,
154,WIRELESS NETWORKS,"1,720",1.006,0.003530,
155,IET Science Measurement & Technology,405,0.982,0.001280,
156,QUANTUM ELECTRONICS,"2,742",0.978,0.003370,
157,Journal of Modern Power Systems and Clean Energy,86,0.975,0.000310,
158,MICROSYSTEM TECHNOLOGIES-MICRO-AND NANOSYSTEMS-INFORMATION STORAGE AND PROCESSING SYSTEMS,"2,135",0.974,0.004200,
159,Journal of Power Electronics,571,0.931,0.001560,
160,EURASIP Journal on Advances in Signal Processing,"2,458",0.928,0.006110,
161,MATHEMATICS OF CONTROL SIGNALS AND SYSTEMS,601,0.927,0.000930,
162,JOURNAL OF MICROWAVE POWER AND ELECTROMAGNETIC ENERGY,412,0.925,0.000330,
163,WIRELESS COMMUNICATIONS & MOBILE COMPUTING,"2,005",0.922,0.003320,
164,SOLDERING & SURFACE MOUNT TECHNOLOGY,213,0.913,0.000350,
165,IEEE ANTENNAS AND PROPAGATION MAGAZINE,"1,713",0.896,0.004980,
166,MICROELECTRONICS JOURNAL,"2,126",0.876,0.002730,
167,IET Signal Processing,539,0.873,0.002040,
168,Signal Image and Video Processing,480,0.872,0.001390,
169,IET Image Processing,537,0.860,0.001830,
170,ELECTRONICS LETTERS,"14,098",0.854,0.024900,
171,IEEE SPECTRUM,980,0.827,0.002630,
172,IET Microwaves Antennas & Propagation,"1,325",0.817,0.006920,
173,ETRI JOURNAL,836,0.809,0.002180,
174,Physical Communication,254,0.802,0.001420,
175,EURASIP Journal on Audio Speech and Music Processing,158,0.797,0.000540,
176,AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,990,0.786,0.002200,
177,JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS,"1,415",0.772,0.003400,
178,Semiconductors and Semimetals,464,0.765,0.000300,
179,IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE,331,0.759,0.000800,
180,International Journal of Antennas and Propagation,796,0.750,0.003900,
181,ELECTRIC POWER COMPONENTS AND SYSTEMS,991,0.747,0.001400,
182,INTERNATIONAL JOURNAL OF APPLIED ELECTROMAGNETICS AND MECHANICS,894,0.724,0.001200,
183,Journal of Sensors,501,0.712,0.000940,
184,ACM Journal on Emerging Technologies in Computing Systems,202,0.705,0.000820,
185,INTEGRATION-THE VLSI JOURNAL,311,0.703,0.000890,
186,IEEE Design & Test,745,0.681,0.001820,
187,Journal of Electrical Engineering & Technology,683,0.679,0.001600,
188,Journal of Nanoelectronics and Optoelectronics,374,0.675,0.000660,
189,ELECTRICAL ENGINEERING,250,0.662,0.000490,
190,NETWORK-COMPUTATION IN NEURAL SYSTEMS,716,0.647,0.000280,
191,IEEE TECHNOLOGY AND SOCIETY MAGAZINE,170,0.635,0.000310,
192,EURASIP Journal on Wireless Communications and Networking,"1,695",0.627,0.006480,
192,International Journal of Optomechatronics,98,0.627,0.000300,
194,IET Communications,"1,512",0.624,0.006180,
195,Journal of the Society for Information Display,894,0.619,0.001690,
196,JOURNAL OF ELECTRONIC IMAGING,"1,307",0.616,0.002750,
197,IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE,618,0.611,0.001240,
198,IET Circuits Devices & Systems,311,0.590,0.001090,
198,Radioengineering,718,0.590,0.001790,
200,IET Computer Vision,284,0.573,0.000960,
201,INTERNATIONAL JOURNAL OF IMAGING SYSTEMS AND TECHNOLOGY,549,0.571,0.000970,
202,IET Optoelectronics,198,0.559,0.000510,
203,MICROWAVE AND OPTICAL TECHNOLOGY LETTERS,"4,006",0.545,0.007890,
204,APPLIED ARTIFICIAL INTELLIGENCE,496,0.540,0.000470,
205,CIRCUIT WORLD,177,0.525,0.000210,
206,CANADIAN JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING-REVUE CANADIENNE DE GENIE ELECTRIQUE ET INFORMATIQUE,98,0.524,0.000070,
206,INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING,391,0.524,0.001090,
206,Revue Roumaine des Sciences Techniques-Serie Electrotechnique et Energetique,106,0.524,0.000040,
209,International Arab Journal of Information Technology,292,0.519,0.000260,
209,MICROELECTRONICS INTERNATIONAL,148,0.519,0.000360,
211,Turkish Journal of Electrical Engineering and Computer Sciences,388,0.518,0.001010,
212,INTERNATIONAL JOURNAL OF NUMERICAL MODELLING-ELECTRONIC NETWORKS DEVICES AND FIELDS,355,0.515,0.000820,
213,Journal of Signal Processing Systems for Signal Image and Video Technology,414,0.508,0.001890,
214,International Journal of Microwave and Wireless Technologies,173,0.472,0.000900,
215,MICROPROCESSORS AND MICROSYSTEMS,413,0.471,0.000980,
216,Journal of Systems Engineering and Electronics,643,0.468,0.001280,
217,Journal of Semiconductor Technology and Science,189,0.467,0.000720,
218,Advances in Electrical and Computer Engineering,222,0.459,0.000390,
219,IEEE Latin America Transactions,456,0.436,0.000530,
220,INFORMACIJE MIDEM-JOURNAL OF MICROELECTRONICS ELECTRONIC COMPONENTS AND MATERIALS,86,0.433,0.000290,
221,COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,592,0.430,0.001280,
222,IEEE INDUSTRY APPLICATIONS MAGAZINE,467,0.422,0.000750,
223,ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING,869,0.417,0.001870,
224,INTERNATIONAL JOURNAL OF ELECTRONICS,856,0.414,0.000830,
225,Journal of Electrical Engineering-Elektrotechnicky Casopis,311,0.407,0.000600,
226,Journal of Zhejiang University-SCIENCE C-Computers & Electronics,221,0.392,0.000910,
227,APPLIED COMPUTATIONAL ELECTROMAGNETICS SOCIETY JOURNAL,407,0.389,0.000860,
227,Elektronika Ir Elektrotechnika,437,0.389,0.000990,
229,FREQUENZ,154,0.379,0.000300,
230,INTEGRATED FERROELECTRICS,826,0.375,0.001100,
231,JOURNAL OF ELECTRONIC TESTING-THEORY AND APPLICATIONS,222,0.361,0.000540,
232,IEICE Electronics Express,711,0.344,0.001710,
232,IEICE TRANSACTIONS ON ELECTRONICS,800,0.344,0.001640,
234,ELECTROMAGNETICS,341,0.333,0.000580,
235,JOURNAL OF COMMUNICATIONS TECHNOLOGY AND ELECTRONICS,709,0.331,0.000880,
236,CHINESE JOURNAL OF ELECTRONICS,337,0.319,0.000570,
237,Automatika,105,0.311,0.000400,
238,JOURNAL OF CIRCUITS SYSTEMS AND COMPUTERS,397,0.308,0.000540,
239,INTERNATIONAL JOURNAL OF ELECTRICAL ENGINEERING EDUCATION,112,0.302,0.000150,
240,IEICE TRANSACTIONS ON COMMUNICATIONS,"1,148",0.300,0.002420,
241,IETE JOURNAL OF RESEARCH,131,0.284,0.000340,
242,IEEJ Transactions on Electrical and Electronic Engineering,290,0.261,0.000890,
243,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,216,0.240,0.000470,
244,IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS COMMUNICATIONS AND COMPUTER SCIENCES,"1,213",0.236,0.002520,
245,SOLID STATE TECHNOLOGY,178,0.200,0.000140,
246,MICROWAVE JOURNAL,268,0.167,0.000450,
247,EPE Journal,67,0.156,0.000210,
248,ELECTRICAL ENGINEERING IN JAPAN,266,0.125,0.000470,
249,Electronics and Communications in Japan,146,0.113,0.000270,
250,Iranian Journal of Science and Technology-Transactions of Electrical Engineering,9,0.107,0.000030,
251,FUJITSU SCIENTIFIC & TECHNICAL JOURNAL,89,0.100,0.000180,
252,Light & Engineering,48,0.082,0.000050,
253,EDN,55,0.074,0.000060,
254,ELECTRONICS WORLD,24,0.027,0.000020,
255,Journal of the Institute of Telecommunications Professionals,8,0.021,0.000020,
256,Traitement du Signal,37,0.000,0.000020,
257,Frontiers of Information Technology & Electronic Engineering,1,Not Available,0.000000,
Copyright © 2016 Thomson Reuters,,,,, 1 
