"Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE,SSCI Selected Categories: 'COMPUTER%20SCIENCE%2C%20ARTIFICIAL%20INTELLIGENCE' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
61,AUTONOMOUS ROBOTS,"1,419",1.547,0.00407,
62,DATA & KNOWLEDGE ENGINEERING,"1,369",1.5,0.00215,
63,NEURAL COMPUTING & APPLICATIONS,"2,398",1.492,0.00701,
64,JOURNAL OF MATHEMATICAL IMAGING AND VISION,"1,673",1.461,0.0054,
65,AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,746,1.417,0.00136,
66,International Journal of Bio-Inspired Computation,312,1.39,0.0008,
67,JOURNAL OF HEURISTICS,936,1.344,0.00213,
68,COMPUTER SPEECH AND LANGUAGE,799,1.324,0.00167,
69,Natural Computing,564,1.31,0.0015,
70,Journal of Web Semantics,815,1.277,0.00204,
71,MACHINE VISION AND APPLICATIONS,"1,265",1.272,0.00361,
72,APPLIED INTELLIGENCE,970,1.215,0.00212,
73,IEEE Transactions on Autonomous Mental Development,232,1.205,0.00085,
74,Cognitive Systems Research,407,1.204,0.00104,
75,INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,627,1.183,0.00135,
76,Genetic Programming and Evolvable Machines,254,1.143,0.00088,
77,CONNECTION SCIENCE,303,1.125,0.00022,
78,ACM Transactions on Autonomous and Adaptive Systems,257,1.118,0.00078,
79,International Journal of Machine Learning and Cybernetics,413,1.11,0.00144,
80,PATTERN ANALYSIS AND APPLICATIONS,639,1.104,0.00141,
81,ADAPTIVE BEHAVIOR,485,1.098,0.00088,
82,ARTIFICIAL LIFE,624,1.042,0.00093,
83,KNOWLEDGE ENGINEERING REVIEW,691,1.039,0.00114,
84,International Journal of Applied Mathematics and Computer Science,793,1.037,0.00149,
85,Journal on Multimodal User Interfaces,141,1.017,0.00057,
86,JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,"1,215",1.004,0.00186,
87,IEEE Transactions on Computational Intelligence and AI in Games,249,1,0.00126,
87,INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,"1,169",1,0.00121,
87,JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,615,1,0.00099,
90,EXPERT SYSTEMS,378,0.947,0.00057,
91,ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,670,0.944,0.00147,
92,International Journal of Fuzzy Systems,400,0.941,0.00134,
93,JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,"1,241",0.932,0.00392,
94,INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,952,0.915,0.00137,
95,Memetic Computing,147,0.9,0.0004,
96,Natural Language Engineering,266,0.886,0.00057,
97,International Journal on Document Analysis and Recognition,342,0.885,0.00063,
98,AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,450,0.877,0.00044,
99,Biologically Inspired Cognitive Architectures,107,0.838,0.00018,
100,Journal of Ambient Intelligence and Humanized Computing,188,0.835,0.00078,
101,MINDS AND MACHINES,269,0.769,0.0004,
102,IET Biometrics,86,0.764,0.00049,
103,COMPUTATIONAL INTELLIGENCE,491,0.722,0.00087,
104,Journal of Ambient Intelligence and Smart Environments,208,0.707,0.00072,
105,NETWORK-COMPUTATION IN NEURAL SYSTEMS,716,0.647,0.00028,
106,Information Technology and Control,144,0.633,0.00034,
107,Intelligent Data Analysis,637,0.631,0.0009,
108,AI MAGAZINE,893,0.628,0.00165,
109,CONSTRAINTS,245,0.622,0.00052,
110,International Journal on Semantic Web and Information Systems,280,0.621,0.0005,
111,Statistical Analysis and Data Mining,243,0.574,0.00191,
112,IET Computer Vision,284,0.573,0.00096,
113,Neural Network World,216,0.562,0.0003,
114,APPLIED ARTIFICIAL INTELLIGENCE,496,0.54,0.00047,
115,Applied Ontology,148,0.526,0.00025,
116,COMPUTING AND INFORMATICS,274,0.524,0.00068,
116,Journal of Applied Logic,181,0.524,0.00094,
118,International Arab Journal of Information Technology,292,0.519,0.00026,
119,Turkish Journal of Electrical Engineering and Computer Sciences,388,0.518,0.00101,
120,International Journal on Artificial Intelligence Tools,312,0.504,0.0006,
121,JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,323,0.503,0.0005,
122,Malaysian Journal of Computer Science,65,0.476,0.0001,
123,Advances in Electrical and Computer Engineering,222,0.459,0.00039,
124,Journal of Logic Language and Information,192,0.45,0.00042,
125,International Journal of Computational Intelligence Systems,392,0.391,0.00112,
126,AI COMMUNICATIONS,308,0.364,0.00079,
127,INTELLIGENT AUTOMATION AND SOFT COMPUTING,186,0.351,0.00037,
128,JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,246,0.325,0.00093,
129,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,216,0.24,0.00047,
130,Traitement du Signal,37,0,0.00002,
Copyright © 2016 Thomson Reuters,,,,,1
