"Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING%2C%20CIVIL' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
43,JOURNAL OF HYDRAULIC RESEARCH,"2,515",1.471,0.004710,
44,International Journal of Concrete Structures and Materials,197,1.411,0.000750,
45,Journal of Analytical Methods in Chemistry,284,1.369,0.000830,
46,JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,"2,910",1.364,0.003070,
47,JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING,"1,485",1.316,0.001700,
48,JOURNAL OF MATERIALS IN CIVIL ENGINEERING,"3,948",1.295,0.008370,
49,Natural Hazards Review,709,1.293,0.001160,
50,JOURNAL OF ADVANCED TRANSPORTATION,538,1.292,0.001420,
51,JOURNAL OF HYDRAULIC ENGINEERING,"7,275",1.284,0.005890,
52,Journal of Infrastructure Systems,890,1.234,0.001570,
53,ACI STRUCTURAL JOURNAL,"3,918",1.227,0.004070,
54,Structure and Infrastructure Engineering,753,1.202,0.002520,
55,JOURNAL OF HYDROINFORMATICS,984,1.180,0.002260,
56,JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,"4,261",1.152,0.004260,
57,Smart Structures and Systems,761,1.138,0.001910,
58,JOURNAL OF ENVIRONMENTAL ENGINEERING,"4,506",1.125,0.003570,
59,Geomechanics and Engineering,188,1.085,0.000380,
60,Journal of Bridge Engineering,"1,572",1.069,0.003710,
61,WATER INTERNATIONAL,"1,093",1.040,0.001040,
62,International Journal of Structural Stability and Dynamics,609,1.028,0.001610,
63,International Journal of Architectural Heritage,282,1.025,0.000930,
64,Structural Concrete,263,1.023,0.000910,
65,STRUCTURAL ENGINEERING AND MECHANICS,"1,504",1.021,0.002530,
66,FIRE SAFETY JOURNAL,"1,881",0.936,0.002830,
67,JOURNAL OF EARTHQUAKE ENGINEERING,"1,347",0.922,0.002690,
68,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART F-JOURNAL OF RAIL AND RAPID TRANSIT,710,0.900,0.001730,
69,STRUCTURAL DESIGN OF TALL AND SPECIAL BUILDINGS,691,0.898,0.001510,
70,Journal of Pipeline Systems Engineering and Practice,110,0.896,0.000560,
71,JOURNAL OF PERFORMANCE OF CONSTRUCTED FACILITIES,885,0.893,0.002090,
72,CIVIL ENGINEERING AND ENVIRONMENTAL SYSTEMS,265,0.891,0.000570,
73,JOURNAL OF SURVEYING ENGINEERING,342,0.884,0.000540,
74,International Journal of Pavement Engineering,621,0.877,0.001780,
75,Bauingenieur,352,0.866,0.001480,
76,Computers and Concrete,399,0.849,0.001140,
77,Latin American Journal of Solids and Structures,333,0.830,0.000810,
78,JOURNAL OF AEROSPACE ENGINEERING,759,0.815,0.001510,
79,Earthquake Engineering and Engineering Vibration,626,0.814,0.001220,
80,JOURNAL OF WATER SUPPLY RESEARCH AND TECHNOLOGY-AQUA,823,0.807,0.000840,
81,JOURNAL OF TRANSPORTATION ENGINEERING,"2,286",0.801,0.003990,
82,Earthquakes and Structures,240,0.789,0.000820,
83,WIND AND STRUCTURES,460,0.746,0.000660,
84,JOURNAL OF COLD REGIONS ENGINEERING,160,0.720,0.000210,
85,JOURNAL OF MARINE SCIENCE AND TECHNOLOGY,432,0.709,0.000900,
86,COASTAL ENGINEERING JOURNAL,328,0.703,0.000640,
87,Proceedings of the Institution of Civil Engineers-Engineering Sustainability,201,0.691,0.000330,
88,Ingegneria Sismica,44,0.676,0.000140,
89,Journal of Advanced Concrete Technology,588,0.658,0.001030,
90,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT,550,0.656,0.001620,
91,European Journal of Environmental and Civil Engineering,305,0.636,0.001390,
92,JOURNAL OF SHIP RESEARCH,642,0.606,0.000470,
93,KSCE Journal of Civil Engineering,773,0.600,0.002680,
94,CANADIAN JOURNAL OF CIVIL ENGINEERING,"2,019",0.586,0.002440,
95,ADVANCES IN STRUCTURAL ENGINEERING,765,0.577,0.002230,
96,SURVEY REVIEW,282,0.573,0.000490,
97,International Journal of Steel Structures,249,0.533,0.000820,
98,TRANSPORTATION RESEARCH RECORD,"12,833",0.522,0.018910,
99,Baltic Journal of Road and Bridge Engineering,162,0.519,0.000450,
100,JOURNAL AMERICAN WATER WORKS ASSOCIATION,"2,206",0.505,0.001450,
101,CHINA OCEAN ENGINEERING,285,0.435,0.000640,
102,Beton- und Stahlbetonbau,396,0.431,0.001480,
103,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-STRUCTURES AND BUILDINGS,504,0.429,0.000970,
104,Journal of Fire Protection Engineering,177,0.417,0.000310,
105,Iranian Journal of Science and Technology-Transactions of Civil Engineering,44,0.403,0.000100,
106,GEFAHRSTOFFE REINHALTUNG DER LUFT,183,0.394,0.000330,
107,International Journal of Civil Engineering,211,0.372,0.000480,
108,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-CIVIL ENGINEERING,169,0.348,0.000340,
109,Advanced Steel Construction,105,0.346,0.000440,
110,INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING,366,0.341,0.000570,
111,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-TRANSPORT,204,0.314,0.000340,
112,Bautechnik,222,0.311,0.001120,
113,Structural Engineering International,373,0.299,0.000750,
114,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MARITIME ENGINEERING,96,0.281,0.000180,
115,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MUNICIPAL ENGINEER,159,0.275,0.000220,
116,Periodica Polytechnica-Civil Engineering,71,0.271,0.000250,
117,Stahlbau,321,0.225,0.000870,
118,Revista de la Construccion,56,0.185,0.000090,
119,ITE JOURNAL-INSTITUTE OF TRANSPORTATION ENGINEERS,221,0.174,0.000370,
120,Teknik Dergi,28,0.171,0.000040,
121,Gradevinar,100,0.158,0.000170,
122,NAVAL ENGINEERS JOURNAL,201,0.157,0.000220,
123,CIVIL ENGINEERING,217,0.153,0.000270,
124,Journal of the South African Institution of Civil Engineering,59,0.115,0.000190,
125,Tecnologia y Ciencias del Agua,36,0.108,0.000090,
126,ENGINEERING JOURNAL-AMERICAN INSTITUTE OF STEEL CONSTRUCTION,231,0.033,0.000110,
Copyright © 2016 Thomson Reuters,,,,, 1 
