"Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING%2C%20BIOMEDICAL' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
47,COMPUTERS IN BIOLOGY AND MEDICINE,"2,755",1.521,0.005150,
49,PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY,"4,855",1.440,0.008570,
50,JOURNAL OF ARTIFICIAL ORGANS,637,1.438,0.001140,
51,COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,"1,583",1.385,0.002570,
52,Biomedical Engineering Online,"1,671",1.382,0.004360,
53,CELL AND TISSUE BANKING,754,1.248,0.001390,
54,Sports Biomechanics,451,1.209,0.000900,
55,Journal of Medical and Biological Engineering,561,1.018,0.001100,
56,JOURNAL OF APPLIED BIOMECHANICS,"1,357",1.010,0.002460,
57,INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS,"1,864",1.005,0.002920,
58,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,"1,857",0.996,0.003180,
59,BIO-MEDICAL MATERIALS AND ENGINEERING,"1,250",0.988,0.001700,
60,BIORHEOLOGY,"1,511",0.981,0.000760,
61,Molecular & Cellular Biomechanics,156,0.962,0.000240,
62,Tissue Engineering and Regenerative Medicine,349,0.941,0.000700,
63,Journal of Applied Biomaterials & Functional Materials,127,0.934,0.000460,
64,Biocybernetics and Biomedical Engineering,107,0.808,0.000260,
65,Journal of Mechanics in Medicine and Biology,495,0.797,0.001090,
66,Acta of Bioengineering and Biomechanics,340,0.767,0.000710,
67,Applied Bionics and Biomechanics,185,0.703,0.000240,
68,TECHNOLOGY AND HEALTH CARE,563,0.678,0.000890,
69,AUSTRALASIAN PHYSICAL & ENGINEERING SCIENCES IN MEDICINE,359,0.676,0.000780,
70,IRBM,210,0.628,0.000640,
71,IEEE Pulse,160,0.558,0.000770,
72,Bioinspired Biomimetic and Nanobiomaterials,77,0.523,0.000360,
73,Journal of Medical Devices-Transactions of the ASME,321,0.450,0.001030,
74,Journal of Hard Tissue Biology,117,0.424,0.000150,
75,Journal of Vibroengineering,388,0.384,0.001020,
76,ISOKINETICS AND EXERCISE SCIENCE,344,0.357,0.000590,
Copyright © 2016 Thomson Reuters,,,,, 1 
